problem_statement,problem_tags,contestId,index,name,type,points,rating
2092F - Andryusha and CCB,"brute force,constructive algorithms,greedy,math,number theory,strings",2092,F,Andryusha and CCB,PROGRAMMING,3000.0,
2092E - She knows...,"combinatorics,constructive algorithms,graphs,math",2092,E,She knows...,PROGRAMMING,2250.0,
2092D - Mishkin Energizer,"brute force,constructive algorithms,greedy,implementation,strings",2092,D,Mishkin Energizer,PROGRAMMING,1750.0,
2092C - Asuna and the Mosquitoes,"constructive algorithms,greedy,math",2092,C,Asuna and the Mosquitoes,PROGRAMMING,1250.0,
2092B - Lady Bug,"implementation,math",2092,B,Lady Bug,PROGRAMMING,750.0,
2092A - Kamilka and the Sheep,"greedy,implementation,math,sortings",2092,A,Kamilka and the Sheep,PROGRAMMING,500.0,
2091G - Gleb and Boating,"brute force,constructive algorithms,data structures,dp,graphs,greedy,math,number theory,shortest paths",2091,G,Gleb and Boating,PROGRAMMING,,
2091F - Igor and Mountain,"binary search,brute force,dp",2091,F,Igor and Mountain,PROGRAMMING,,
2091E - Interesting Ratio,"brute force,math,number theory,two pointers",2091,E,Interesting Ratio,PROGRAMMING,,
2091D - Place of the Olympiad,"binary search,greedy,math",2091,D,Place of the Olympiad,PROGRAMMING,,
2091C - Combination Lock,"constructive algorithms,greedy",2091,C,Combination Lock,PROGRAMMING,,
2091B - Team Training,"dp,greedy,sortings",2091,B,Team Training,PROGRAMMING,,
2091A - Olympiad Date,"greedy,strings",2091,A,Olympiad Date,PROGRAMMING,,
2090C - Dining Hall,"data structures,greedy,implementation,sortings",2090,C,Dining Hall,PROGRAMMING,1750.0,
2090B - Pushing Balls,"brute force,dp,implementation",2090,B,Pushing Balls,PROGRAMMING,1000.0,
2090A - Treasure Hunt,"implementation,math",2090,A,Treasure Hunt,PROGRAMMING,500.0,
2089E - Black Cat Collapse,,2089,E,Black Cat Collapse,PROGRAMMING,3000.0,3500.0
2089D - Conditional Operators,constructive algorithms,2089,D,Conditional Operators,PROGRAMMING,2500.0,3200.0
2089C2 - Key of Like (Hard Version),"dp,math,probabilities",2089,C2,Key of Like (Hard Version),PROGRAMMING,1250.0,3100.0
2089C1 - Key of Like (Easy Version),"dp,games,math,probabilities",2089,C1,Key of Like (Easy Version),PROGRAMMING,1000.0,2200.0
2089B2 - Canteen (Hard Version),"binary search,data structures,dp,flows,greedy,two pointers",2089,B2,Canteen (Hard Version),PROGRAMMING,500.0,2300.0
2089B1 - Canteen (Easy Version),"binary search,data structures,flows,greedy,two pointers",2089,B1,Canteen (Easy Version),PROGRAMMING,1000.0,1900.0
2089A - Simple Permutation,"constructive algorithms,number theory",2089,A,Simple Permutation,PROGRAMMING,750.0,1700.0
2085F2 - Serval and Colorful Array (Hard Version),"data structures,greedy",2085,F2,Serval and Colorful Array (Hard Version),PROGRAMMING,1000.0,2900.0
2085F1 - Serval and Colorful Array (Easy Version),"data structures,greedy",2085,F1,Serval and Colorful Array (Easy Version),PROGRAMMING,2000.0,2600.0
2085E - Serval and Modulo,"constructive algorithms,math,number theory",2085,E,Serval and Modulo,PROGRAMMING,2500.0,2200.0
2085D - Serval and Kaitenzushi Buffet,"data structures,graph matchings,greedy",2085,D,Serval and Kaitenzushi Buffet,PROGRAMMING,1750.0,2000.0
2085C - Serval and The Formula,"bitmasks,constructive algorithms,dp,greedy",2085,C,Serval and The Formula,PROGRAMMING,1250.0,1600.0
2085B - Serval and Final MEX,"constructive algorithms,implementation",2085,B,Serval and Final MEX,PROGRAMMING,1250.0,1200.0
2085A - Serval and String Theory,"constructive algorithms,implementation",2085,A,Serval and String Theory,PROGRAMMING,500.0,900.0
2082B - Floor or Ceil,"brute force,greedy",2082,B,Floor or Ceil,PROGRAMMING,1000.0,1600.0
2082A - Binary Matrix,"constructive algorithms,greedy",2082,A,Binary Matrix,PROGRAMMING,500.0,800.0
2081G2 - Hard Formula (Hard Version),math,2081,G2,Hard Formula (Hard Version),PROGRAMMING,1500.0,3400.0
2081G1 - Hard Formula,"math,number theory",2081,G1,Hard Formula,PROGRAMMING,1500.0,3100.0
2081F - Hot Matrix,"constructive algorithms,math",2081,F,Hot Matrix,PROGRAMMING,2500.0,3300.0
2081E - Quantifier,"combinatorics,dp,implementation",2081,E,Quantifier,PROGRAMMING,2250.0,3300.0
2081D - MST in Modulo Graph,"constructive algorithms,dsu,graphs,greedy,math,number theory,sortings,trees",2081,D,MST in Modulo Graph,PROGRAMMING,1750.0,2600.0
2081C - Quaternary Matrix,"bitmasks,constructive algorithms,greedy,implementation,matrices",2081,C,Quaternary Matrix,PROGRAMMING,1750.0,2700.0
2081B - Balancing,greedy,2081,B,Balancing,PROGRAMMING,1000.0,2500.0
2081A - Math Division,"bitmasks,dp,math,probabilities",2081,A,Math Division,PROGRAMMING,500.0,1800.0
2080D - Order Statistics,"*special,binary search",2080,D,Order Statistics,PROGRAMMING,,3400.0
2080C - Card Flip,*special,2080,C,Card Flip,PROGRAMMING,,2300.0
2080B - Best Runner,*special,2080,B,Best Runner,PROGRAMMING,,1700.0
2080A - Strong Connectivity Strikes Back,"*special,constructive algorithms,graphs",2080,A,Strong Connectivity Strikes Back,PROGRAMMING,,3200.0
2079D - Cute Subsequences,"*special,sortings",2079,D,Cute Subsequences,PROGRAMMING,,1800.0
2079C - Dreaming Is Not Harmful,*special,2079,C,Dreaming Is Not Harmful,PROGRAMMING,,2300.0
2079B - Arithmetic Exercise,"*special,data structures,dp,greedy",2079,B,Arithmetic Exercise,PROGRAMMING,,2600.0
"2079A - Alice, Bob, And Two Arrays","*special,data structures,dp,games",2079,A,"Alice, Bob, And Two Arrays",PROGRAMMING,,3300.0
2078D - Scammy Game Ad,"dp,greedy,implementation",2078,D,Scammy Game Ad,PROGRAMMING,1750.0,1800.0
2078B - Vicious Labyrinth,"constructive algorithms,graphs,greedy,implementation,math",2078,B,Vicious Labyrinth,PROGRAMMING,750.0,1100.0
2078A - Final Verdict,math,2078,A,Final Verdict,PROGRAMMING,500.0,800.0
2077G - RGB Walking,"bitmasks,chinese remainder theorem,dfs and similar,graphs,number theory",2077,G,RGB Walking,PROGRAMMING,3000.0,3500.0
2077F - AND x OR,"bitmasks,constructive algorithms,dp",2077,F,AND x OR,PROGRAMMING,2500.0,3300.0
2077E - Another Folding Strip,"combinatorics,constructive algorithms,data structures,divide and conquer,dp,greedy,math",2077,E,Another Folding Strip,PROGRAMMING,2250.0,2700.0
2077D - Maximum Polygon,"brute force,data structures,greedy,implementation,math",2077,D,Maximum Polygon,PROGRAMMING,2250.0,3100.0
2077C - Binary Subsequence Value Sum,"combinatorics,data structures,dp,fft,math,matrices",2077,C,Binary Subsequence Value Sum,PROGRAMMING,1500.0,2300.0
2077B - Finding OR Sum,"bitmasks,constructive algorithms,implementation,interactive,math",2077,B,Finding OR Sum,PROGRAMMING,1000.0,1900.0
2077A - Breach of Faith,"constructive algorithms,greedy,math,sortings",2077,A,Breach of Faith,PROGRAMMING,500.0,1500.0
2075F - Beautiful Sequence Returns,"binary search,brute force,data structures,implementation",2075,F,Beautiful Sequence Returns,PROGRAMMING,,3000.0
2075E - XOR Matrix,"bitmasks,combinatorics,dp,implementation,math",2075,E,XOR Matrix,PROGRAMMING,,2500.0
2075D - Equalization,"bitmasks,brute force,dp,graphs,math",2075,D,Equalization,PROGRAMMING,,2000.0
2075C - Two Colors,"binary search,combinatorics,math",2075,C,Two Colors,PROGRAMMING,,1500.0
2075B - Array Recoloring,"constructive algorithms,greedy",2075,B,Array Recoloring,PROGRAMMING,,1300.0
2075A - To Zero,"greedy,math",2075,A,To Zero,PROGRAMMING,,800.0
2074G - Game With Triangles: Season 2,"dp,geometry",2074,G,Game With Triangles: Season 2,PROGRAMMING,,2100.0
2074F - Counting Necessary Nodes,"bitmasks,divide and conquer,greedy,implementation,math",2074,F,Counting Necessary Nodes,PROGRAMMING,,2000.0
2074E - Empty Triangle,"geometry,interactive,probabilities",2074,E,Empty Triangle,PROGRAMMING,,1600.0
